loan_amnt,int_rate,installment,grade,emp_length,home_ownership,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
24000,10.49,779.95,B,3 years,MORTGAGE,89000.0,Fully Paid,21.12,1.0,2.0,31.0,8.0,0.0,28137,64.0,19.0,27437.333789999997,27437.33,24000.0,3359.33,78.0,0.0,0.0,16901.45,1.0,Individual,0.0,0.0,70116.0,43670.0
15000,21.49,409.95,D,,RENT,38251.2,Charged Off,30.98,0.0,0.0,,11.0,0.0,5357,24.8,13.0,10687.22,10687.22,3769.92,5302.7,0.0,1614.6,145.314,409.95,1.0,Individual,0.0,273.0,31306.0,21600.0
24000,6.97,740.73,A,2 years,MORTGAGE,92000.0,Fully Paid,16.57,0.0,2.0,,11.0,0.0,8162,11.8,21.0,26148.75,26148.75,24000.0,2148.75,0.0,0.0,0.0,12074.88,0.0,Individual,0.0,0.0,196318.0,68900.0
6500,19.22,238.99,D,4 years,MORTGAGE,25000.0,Charged Off,9.7,0.0,0.0,,5.0,0.0,6848,41.0,7.0,7565.0,7565.0,5313.58,2109.37,15.0,127.05,22.869,238.99,0.0,Individual,0.0,0.0,6848.0,16700.0
20000,11.22,656.86,B,10+ years,OWN,58000.0,Fully Paid,16.59,0.0,1.0,36.0,13.0,0.0,11831,45.3,18.0,20088.83,20088.83,20000.0,88.83,0.0,0.0,0.0,20101.3,0.0,Individual,0.0,0.0,426287.0,26100.0
6000,7.89,187.72,A,9 years,MORTGAGE,53000.0,Fully Paid,6.61,0.0,0.0,45.0,11.0,0.0,9449,61.4,23.0,6398.210315,6398.21,6000.0,398.21,0.0,0.0,0.0,4527.59,0.0,Individual,0.0,0.0,103923.0,15400.0
21000,30.94,691.6,G,,MORTGAGE,90000.0,In Grace Period,26.44,1.0,2.0,7.0,8.0,0.0,20131,95.4,30.0,10737.85,10737.85,2808.78,7894.49,34.58,0.0,0.0,726.18,0.0,Individual,0.0,0.0,295589.0,21100.0
10000,16.29,353.01,D,2 years,RENT,44000.0,Charged Off,12.06,2.0,2.0,20.0,8.0,0.0,2289,24.6,11.0,4588.68,4588.68,3065.36,1505.67,17.65,0.0,0.0,370.66,0.0,Individual,0.0,0.0,11908.0,9300.0
15000,14.46,516.03,C,< 1 year,RENT,50750.0,Late (31-120 days),6.15,0.0,0.0,71.0,7.0,0.0,7560,68.1,28.0,15603.85,15603.85,12182.1,3421.75,0.0,0.0,0.0,516.03,0.0,Individual,0.0,515.0,34575.0,11100.0
14400,11.99,320.25,C,4 years,RENT,66000.0,Late (31-120 days),26.67,0.0,0.0,,11.0,0.0,26811,96.4,26.0,11232.73,11232.73,7346.53,3886.2,0.0,0.0,0.0,320.25,0.0,Individual,0.0,0.0,107231.0,27800.0
21300,15.22,509.19,C,8 years,MORTGAGE,48000.0,Fully Paid,20.93,0.0,1.0,,10.0,0.0,34438,66.7,17.0,29070.84,29070.84,21300.0,7770.84,0.0,0.0,0.0,10740.0,0.0,Individual,0.0,0.0,73693.0,51600.0
1000,14.08,34.22,C,3 years,RENT,40000.0,Fully Paid,8.88,2.0,2.0,21.0,24.0,0.0,11360,26.3,46.0,1140.8942,1140.89,1000.0,140.89,0.0,0.0,0.0,696.81,0.0,Individual,0.0,0.0,207659.0,43200.0
10000,16.02,243.29,C,10+ years,MORTGAGE,86938.0,Late (31-120 days),20.07,0.0,0.0,40.0,13.0,0.0,14056,49.8,21.0,4173.33,4173.33,2065.69,2077.64,30.0,0.0,0.0,988.16,0.0,Individual,0.0,0.0,422016.0,28200.0
11225,14.46,386.16,C,,MORTGAGE,44040.0,Late (31-120 days),35.23,0.0,1.0,69.0,15.0,1.0,26113,75.3,35.0,11582.87,11582.87,9010.54,2572.33,0.0,0.0,0.0,386.16,0.0,Individual,0.0,9455.0,203668.0,34700.0
8800,11.99,292.25,C,3 years,RENT,50000.0,Charged Off,2.57,0.0,0.0,,5.0,0.0,3814,26.7,6.0,8463.53,8463.53,6825.7,1637.83,0.0,0.0,0.0,292.25,0.0,Individual,0.0,0.0,3814.0,14300.0
25000,10.99,818.35,B,10+ years,MORTGAGE,85000.0,Fully Paid,20.88,2.0,0.0,6.0,22.0,0.0,45789,66.7,40.0,26466.6,26466.6,25000.0,1466.6,0.0,0.0,0.0,11870.9,0.0,Individual,0.0,235.0,315751.0,68700.0
11950,11.53,394.24,B,4 years,RENT,118000.0,Fully Paid,16.68,0.0,0.0,,6.0,0.0,11626,30.8,16.0,13449.25,13421.11,11950.0,1499.25,0.0,0.0,0.0,7543.3,0.0,Individual,0.0,0.0,48539.0,37800.0
