loan_amnt,int_rate,installment,grade,emp_length,home_ownership,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
16000,7.97,501.17,A,10+ years,MORTGAGE,55000.0,26.75,0.0,0.0,,8.0,0.0,28488,68.6,17.0,7009.3,7009.3,5773.78,1235.52,0.0,0.0,0.0,501.17,0.0,Individual,0.0,0.0,96783.0,41500.0
35000,9.99,1129.19,B,6 years,MORTGAGE,180000.0,16.76,0.0,0.0,,11.0,0.0,130920,78.9,32.0,40310.19271,40310.19,35000.0,5310.19,0.0,0.0,0.0,9841.48,0.0,Individual,0.0,0.0,400046.0,145100.0
6250,19.05,229.26,D,10+ years,RENT,68500.0,3.64,0.0,1.0,,9.0,0.0,5693,80.2,11.0,1024.36,1024.36,394.91,290.38,0.0,339.07,3.1,229.26,0.0,Individual,0.0,0.0,5693.0,7100.0
21000,13.58,713.46,C,3 years,RENT,159000.0,14.3,0.0,0.0,27.0,13.0,0.0,40150,82.1,21.0,6496.35,6488.62,4481.34,2015.01,0.0,0.0,0.0,713.46,0.0,Individual,0.0,0.0,66558.0,48889.0
13650,25.09,401.37,F,9 years,RENT,45000.0,27.15,0.0,0.0,,12.0,0.0,10838,46.3,108.0,9360.65,9360.65,733.23,1627.42,0.0,7000.0,1260.0,401.37,0.0,Individual,0.0,0.0,35618.0,23400.0
25000,16.46,614.08,C,1 year,MORTGAGE,53000.0,26.38,0.0,0.0,,15.0,0.0,15760,68.5,27.0,4928.32,4928.32,2268.46,2598.46,61.4,0.0,0.0,644.78,0.0,Joint App,0.0,0.0,445843.0,23000.0
10000,14.47,344.07,C,10+ years,MORTGAGE,105000.0,11.86,0.0,2.0,27.0,10.0,1.0,10991,79.6,16.0,1360.2,1360.2,910.25,449.95,0.0,0.0,0.0,344.07,0.0,Individual,0.0,0.0,33475.0,13800.0
24000,13.33,550.14,C,2 years,RENT,232000.0,19.0,2.0,1.0,2.0,10.0,0.0,28860,96.2,28.0,32527.34471,32527.34,24000.0,8527.34,0.0,0.0,0.0,6706.31,0.0,Individual,0.0,0.0,190255.0,30000.0
9000,14.08,307.95,C,1 year,RENT,26000.0,13.9,0.0,0.0,,12.0,0.0,7328,57.3,12.0,4113.91,4113.91,2823.95,1274.56,15.4,0.0,0.0,100.0,0.0,Individual,0.0,0.0,46495.0,12800.0
20000,10.42,649.3,B,6 years,RENT,60000.0,25.18,0.0,0.0,,12.0,0.0,12980,20.6,16.0,11339.6,11339.6,8658.01,2439.3,242.29,0.0,0.0,664.3,0.0,Joint App,0.0,0.0,39903.0,63100.0
10000,13.99,232.64,C,2 years,RENT,38000.0,30.61,0.0,0.0,43.0,11.0,0.0,11464,54.1,21.0,7669.35,7669.35,4638.39,3030.96,0.0,0.0,0.0,232.64,0.0,Individual,0.0,0.0,25992.0,21200.0
12000,21.18,453.22,E,2 years,MORTGAGE,61000.0,11.69,0.0,0.0,,7.0,0.0,2162,51.5,9.0,14866.36341,14866.36,12000.0,2866.36,0.0,0.0,0.0,1785.77,0.0,Individual,0.0,0.0,150417.0,4200.0
10500,13.99,244.27,C,8 years,MORTGAGE,76000.0,11.99,0.0,0.0,,9.0,0.0,22685,82.2,15.0,10821.31363,10821.31,10500.0,321.31,0.0,0.0,0.0,924.6,0.0,Individual,0.0,0.0,54645.0,27600.0
15000,16.99,534.72,D,10+ years,OWN,36000.0,22.0,0.0,0.0,,11.0,0.0,16895,51.2,24.0,11749.68,11749.68,8243.77,3505.91,0.0,0.0,0.0,534.72,0.0,Individual,0.0,451.0,17630.0,33000.0
15000,10.99,491.01,B,< 1 year,MORTGAGE,155000.0,21.21,0.0,2.0,,18.0,0.0,68181,57.6,39.0,17263.64002,17263.64,15000.0,2263.64,0.0,0.0,0.0,6959.26,0.0,Individual,0.0,54.0,359681.0,93200.0
16000,6.19,488.13,A,2 years,RENT,89000.0,10.84,0.0,3.0,26.0,14.0,0.0,9927,14.2,23.0,2959.7,2959.7,2465.18,494.52,0.0,0.0,0.0,488.13,0.0,Individual,0.0,0.0,19197.0,69900.0
7050,16.29,248.87,D,10+ years,RENT,42000.0,13.63,0.0,0.0,,13.0,0.0,11809,42.9,20.0,8942.291587,8942.29,7050.0,1892.29,0.0,0.0,0.0,1220.94,1.0,Individual,0.0,167.0,48519.0,27500.0
11500,14.99,273.53,C,< 1 year,OWN,33280.0,21.6,2.0,0.0,9.0,25.0,1.0,11530,42.7,77.0,13586.47593,13586.48,11500.0,2086.48,0.0,0.0,0.0,9542.73,0.0,Individual,0.0,0.0,107616.0,27000.0
4000,22.35,153.49,D,< 1 year,MORTGAGE,82000.0,29.62,0.0,1.0,45.0,38.0,1.0,25547,67.9,59.0,455.5,455.5,241.41,214.09,0.0,0.0,0.0,153.49,0.0,Individual,0.0,0.0,314141.0,37600.0
15000,9.16,478.12,B,8 years,RENT,53200.0,23.6,0.0,0.0,,6.0,0.0,943,94.3,22.0,10137.81,10137.81,8247.77,1790.04,0.0,100.0,18.0,478.12,0.0,Individual,0.0,0.0,24771.0,1000.0
